subnum,group,expression,GroupCount,entropy
2012,2,1,8,11.8096511126412
2012,2,2,8,12.2798882222701
2052,2,1,8,11.8173338967034
2052,2,2,8,11.7887398488209
2171,1,1,8,12.3080201696809
2171,1,2,8,12.1218135639155
2181,1,1,8,12.1982668035825
2181,1,2,8,12.2954342689546
2202,2,1,8,12.3917264048826
2202,2,2,8,12.0586018459828
2212,2,1,8,11.7168486439881
2212,2,2,8,12.2510963664812
2241,1,1,8,11.9353386867356
2241,1,2,8,12.5115425872472
2252,2,1,8,11.8707137316831
2252,2,2,8,11.8276753395826
2291,1,1,8,12.1899559380577
2291,1,2,8,12.3487298969356
2341,1,1,8,12.2131168584752
2341,1,2,8,12.3928698384318
