subnum,trial,group,expression,entropy
2012,1,2,2,11.8079556529685
2012,2,2,1,11.4997722019767
2012,3,2,2,11.7306573607217
2012,4,2,2,11.8181743244937
2012,5,2,1,11.795471396293
2012,6,2,2,11.8992614080115
2012,7,2,1,11.6393319594349
2012,8,2,1,11.6135270490077
2012,9,2,1,11.3523217533045
2012,10,2,2,11.5116401952699
2012,11,2,2,11.8259976629139
2012,12,2,1,11.8407889167782
2012,13,2,2,10.9772534542013
2012,14,2,1,11.2709737892492
2012,15,2,2,11.4359258626676
2012,16,2,2,12.207737772153
2012,17,2,1,11.3488886202789
2012,18,2,1,11.472414205897
2012,19,2,2,11.9981679712765
2012,20,2,2,11.6402029453113
2012,21,2,2,11.6996063493078
2012,22,2,1,11.4855833968976
2012,23,2,1,11.6108945419748
2012,24,2,1,11.3604220715156
2012,25,2,2,11.7527424593866
2012,26,2,1,11.5825889981367
2012,27,2,1,11.6354562206206
2012,28,2,2,11.4706124586168
2012,29,2,1,11.3480761026926
2012,30,2,1,11.4908149799577
2012,31,2,2,11.7143681156101
2012,32,2,2,11.6392105329914
2052,1,2,1,11.3393440833162
2052,2,2,2,10.6967502739083
2052,3,2,1,11.8089367750495
2052,4,2,2,10.7255626625122
2052,5,2,2,11.5039753781664
2052,6,2,1,11.5333214063977
2052,7,2,2,11.4867738213766
2052,8,2,2,11.7243803256021
2052,9,2,2,11.8580093693445
2052,10,2,1,11.8459678474177
2052,11,2,2,11.2476815087227
2052,12,2,1,11.7310919538481
2052,13,2,1,11.4969204092899
2052,14,2,2,11.311977993809
2052,15,2,1,11.9646551640606
2052,16,2,1,11.5350909305397
2052,17,2,1,10.8246209793704
2052,18,2,2,11.4159869536426
2052,19,2,1,11.427567079891
2052,20,2,1,11.1769289899356
2052,21,2,2,11.6844454066237
2052,22,2,2,11.2069526007444
2052,23,2,2,11.587211295998
2052,24,2,1,11.1180502511587
2052,25,2,2,11.2570529866284
2052,26,2,1,11.2082374358513
2052,27,2,2,10.7568334045959
2052,28,2,1,10.8325945644044
2052,29,2,1,11.5998062708489
2052,30,2,2,11.6146106427506
2052,31,2,2,11.1986858549526
2052,32,2,1,11.2533445324796
2171,1,1,2,12.0165117523643
2171,2,1,1,11.4242833129726
2171,3,1,1,11.7446110489041
2171,4,1,1,11.6341925728043
2171,5,1,2,11.6836353676751
2171,6,1,2,11.0880776707653
2171,7,1,1,11.7003554806033
2171,8,1,2,12.0443811161944
2171,9,1,2,11.0222937716563
2171,10,1,1,11.681151010287
2171,11,1,2,10.9861332936807
2171,12,1,1,11.817042076014
2171,13,1,1,11.6211772619198
2171,14,1,2,11.4438571121689
2171,15,1,2,11.5381973170911
2171,16,1,1,11.8168034248547
2171,17,1,1,11.2202922125055
2171,18,1,2,11.4306356222758
2171,19,1,1,11.7457080823448
2171,20,1,2,11.2761413975411
2171,21,1,1,11.3272174363765
2171,22,1,2,11.4070804764659
2171,23,1,1,11.3683866697364
2171,24,1,1,11.4942708432396
2171,25,1,1,11.6864617272774
2171,26,1,2,11.3939022316817
2171,27,1,1,11.7969290976334
2171,28,1,2,11.8104328663879
2171,29,1,2,11.7804925063312
2171,30,1,2,11.0640348612815
2171,31,1,1,11.2650605282516
2171,32,1,2,11.5293496635814
2181,1,1,1,11.6118173183061
2181,2,1,2,11.7704126874292
2181,3,1,1,10.9034217569466
2181,4,1,1,11.6145715021138
2181,5,1,2,11.5478602113938
2181,6,1,1,11.6139710525588
2181,7,1,1,11.0614074052722
2181,8,1,1,11.7054121883531
2181,9,1,2,11.6850215391701
2181,10,1,1,11.5847880742903
2181,11,1,2,11.2996053977134
2181,12,1,1,11.615071839108
2181,13,1,2,11.3308771507935
2181,14,1,1,11.8136131220693
2181,15,1,1,11.3333938568961
2181,16,1,1,11.5279970529151
2181,17,1,2,11.8366455111995
