group,subnum,expression,trial,t_data_1119,t_data_1120,t_data_1121,t_data_1122,t_data_1123,t_data_1124,t_data_1125,t_data_1126,t_data_1127,t_data_1128,t_data_1129,t_data_1130,t_data_1131,t_data_1132,t_data_1133,t_data_1134,t_data_1135,t_data_1136,t_data_1137,t_data_1138,t_data_1139,t_data_1140,t_data_1141,t_data_1142,t_data_1143,t_data_1144,t_data_1145,t_data_1146,t_data_1147,t_data_1148,t_data_1149,t_data_1150,t_data_1151,t_data_1152,t_data_1153,t_data_1154,t_data_1155,t_data_1156,t_data_1157,t_data_1158,t_data_1159,t_data_1160,t_data_1161,t_data_1162,t_data_1163,t_data_1164,t_data_1165,t_data_1166,t_data_1167,t_data_1168,t_data_1169,t_data_1170,t_data_1171,t_data_1172,t_data_1173,t_data_1174,t_data_1175,t_data_1176,t_data_1177,t_data_1178,t_data_1179,t_data_1180,t_data_1181,t_data_1182,t_data_1183,t_data_1184,t_data_1185,t_data_1186,t_data_1187,t_data_1188,t_data_1189,t_data_1190,t_data_1191,t_data_1192,t_data_1193,t_data_1194,t_data_1195,t_data_1196,t_data_1197,t_data_1198,t_data_1199,t_data_11100,t_data_11101,t_data_11102,t_data_11103,t_data_11104,t_data_11105,t_data_11106,t_data_11107,t_data_11108,t_data_11109,t_data_11110,t_data_11111,t_data_11112,t_data_11113,t_data_11114,t_data_11115,t_data_11116,t_data_11117,t_data_11118,t_data_11119,t_data_11120,t_data_11121,t_data_11122,t_data_11123,t_data_11124,t_data_11125,t_data_11126,t_data_11127,t_data_11128,t_data_11129,t_data_11130,t_data_11131,t_data_11132,t_data_11133,t_data_11134,t_data_11135,t_data_11136,t_data_11137,t_data_11138,t_data_11139,t_data_11140,t_data_11141,t_data_11142,t_data_11143,t_data_11144,t_data_11145,t_data_11146,t_data_11147,t_data_11148,t_data_11149,t_data_11150,t_data_11151,t_data_11152,t_data_11153,t_data_11154,t_data_11155,t_data_11156,t_data_11157,t_data_11158,t_data_11159,t_data_11160,t_data_11161,t_data_11162,t_data_11163,t_data_11164,t_data_11165,t_data_11166,t_data_11167,t_data_11168,t_data_11169,t_data_11170,t_data_11171,t_data_11172,t_data_11173,t_data_11174,t_data_11175,t_data_11176,t_data_11177,t_data_11178,t_data_11179,t_data_11180,t_data_11181,t_data_11182,t_data_11183,t_data_11184,t_data_11185,t_data_11186,t_data_11187,t_data_11188,t_data_11189,t_data_11190,t_data_11191,t_data_11192,t_data_11193,t_data_11194,t_data_11195,t_data_11196,t_data_11197,t_data_11198,t_data_11199,t_data_11200,t_data_11201,t_data_11202,t_data_11203,t_data_11204,t_data_11205,t_data_11206,t_data_11207,t_data_11208,t_data_11209,t_data_11210,t_data_11211,t_data_11212,t_data_11213,t_data_11214,t_data_11215,t_data_11216,t_data_11217,t_data_11218,t_data_11219,t_data_11220,t_data_11221,t_data_11222,t_data_11223,t_data_11224,t_data_11225,t_data_11226,t_data_11227,t_data_11228,t_data_11229
1,2171,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,18,19,20,21,22,23,23,23,23,23,23,24,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,28,28,28,28,28,28,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,2171,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2171,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,28,27,26,25,24,23,22
1,2171,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,28,28,28,28,28,28,28,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,8,7,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2171,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,28,27,26,25,24,24,23,22,21,21,21,21,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,6,5,5,5,5,5,5,4,4,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,2171,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,29,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,13,13,13,13,13,13,13,13,13,13,12,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,2171,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,28,27,27,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,9,9,9,9,8,8,8,8,8,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
1,2171,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,8,8,9,10,11,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,17,16,15,14,13,12,12,11,11,12,12,11,10,10,10,10,10,10,10,11,12,13,14,15,16,17,18,19,19,20,19,20,21,22,23,24,23,23,22,21,21,22,22,21,20,19,18,17,16,16,15,14,13,12,11,11,10,9,9,8,8,7,6,5,4,3,3,3,3,4,4,3,3,3,3,3,4,4,4,3,3,3,3,3,3,2
1,2171,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,28,28,27,27,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2171,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
